# {"env_id": "Acrobot-v1", "t_start": 1572046359.397239} 
r,l,t
-117.0,118,348.60163
-75.0,76,348.902576
-117.0,118,349.372947
-114.0,115,349.829148
-82.0,83,350.16158
-99.0,100,350.558045
-131.0,132,351.085738
-86.0,87,351.42833
-83.0,84,351.762514
-95.0,96,352.145702
-73.0,74,352.438252
-86.0,87,352.794296
-83.0,84,353.133177
-98.0,99,353.530835
-105.0,106,353.956533
-83.0,84,354.290497
